model,status,duration
C+_mpf_Persistent_sc23_24,-1,00h 02m 21s
M+_mpf_Persistent_sc23_24,-1,00h 02m 24s
M+_mpf_jpg_PTx8_RtdXall_LowC2_AW6e6D1e3_blos_24,-1,00h 44m 31s
C+_mpf_jpg_PTx8_RtdXall_ProgPos_AW1e5D1e4_blos_24,-1,03h 46m 39s
M+_mpf_png_PTx8_RtdXall_LowC2_AW1e5D1e4_0193x0211x0094_24,-1,
C+_mpf_png_PTx8_RtdXall_ProgPos_AW1e5D1e4_0193x0211x0094_24,0,
M+_mpf_jpg_PTx8_RtdXall_EquiMnat_AW1e5D1e4_0193x0211x0094_24,-1,03h 44m 24s
C+_mpf_jpg_PTx8_RtdXall_EquiCnat_AW1e5D1e4_0193x0211x0094_24,-1,03h 46m 45s
M+_mpf_jpg_PTx8_RtdXall_LowC2_AW1e5D1e4_blos_24,-1,00h 00m 06s
C+_mpf_jpg_PTx8_RtdXall_ProgPos_AW4e6D4e3_blos_24,-1,
M+_mpf_jpg_PTx8_RtdXall_EquiMnat_AW1e5D1e4_blos_24,-1,03h 46m 33s
C+_mpf_jpg_PTx8_RtdXall_EquiCnat_AW1e5D1e4_blos_24,1,00h 44m 55s
C+_mpf_pngxhRes_PTx8_RtdXall_EquiCnat_AW1e5D1e4_0193x0211x0094_24,-1,
C+_mpf_pngxhRes_PTx8_Ptrd_EquiCnat_AW1e5D1e4_0193x0211x0094_24,-1,
C+_mpf_pngxhRes_PTx8_Ptrd_EquiCnat_AW1e5D1e4_blos_24,-1,
C+_mpf_jpgxhRes_PTx8_RtdXall_EquiCnat_AW1e5D1e4_0193x0211x0094_24,1,10h 46m 42s
